anno_inizio,ordine_scuola,comune,pro_com_t,alunni,alunni_paritaria,quota_paritaria
2017,SCUOLA SECONDARIA II GRADO,BORGO VAL DI TARO,034006,359,0,0
2017,SCUOLA SECONDARIA I GRADO,VARANO DE' MELEGARI,034045,96,0,0
2017,SCUOLA PRIMARIA,SISSA TRECASALI,034049,360,0,0
2017,SCUOLA SECONDARIA I GRADO,FONTEVIVO,034016,148,0,0
2017,SCUOLA SECONDARIA I GRADO,FONTANELLATO,034015,152,0,0
2017,SCUOLA PRIMARIA,MONCHIO DELLE CORTI,034022,13,0,0
2017,SCUOLA SECONDARIA I GRADO,VARSI,034046,23,0,0
2017,SCUOLA SECONDARIA I GRADO,BARDI,034002,38,0,0
2017,SCUOLA PRIMARIA,BEDONIA,034003,110,0,0
2017,SCUOLA SECONDARIA I GRADO,ALBARETO,034001,18,0,0
2017,SCUOLA SECONDARIA I GRADO,SORBOLO MEZZANI,034051,401,0,0
2017,SCUOLA PRIMARIA,TORNOLO,034040,30,0,0
2017,SCUOLA SECONDARIA I GRADO,LANGHIRANO,034018,311,0,0
2017,SCUOLA PRIMARIA,MONTECHIARUGOLO,034023,531,0,0
2017,SCUOLA PRIMARIA,COMPIANO,034011,47,0,0
2017,SCUOLA SECONDARIA I GRADO,LESIGNANO DE' BAGNI,034019,128,0,0
2017,SCUOLA SECONDARIA I GRADO,NEVIANO DEGLI ARDUINI,034024,51,0,0
2017,SCUOLA SECONDARIA II GRADO,LANGHIRANO,034018,236,0,0
2017,SCUOLA SECONDARIA I GRADO,BERCETO,034004,23,0,0
2017,SCUOLA SECONDARIA I GRADO,FORNOVO DI TARO,034017,230,0,0
2017,SCUOLA SECONDARIA I GRADO,TIZZANO VAL PARMA,034039,56,0,0
2017,SCUOLA SECONDARIA I GRADO,CORNIGLIO,034012,22,0,0
2017,SCUOLA SECONDARIA I GRADO,SOLIGNANO,034035,40,0,0
2017,SCUOLA SECONDARIA I GRADO,BEDONIA,034003,114,0,0
2017,SCUOLA SECONDARIA I GRADO,MONCHIO DELLE CORTI,034022,14,0,0
2017,SCUOLA SECONDARIA I GRADO,TRAVERSETOLO,034042,282,0,0
2017,SCUOLA SECONDARIA I GRADO,PALANZANO,034026,19,0,0
2017,SCUOLA PRIMARIA,TRAVERSETOLO,034042,421,0,0
2017,SCUOLA SECONDARIA I GRADO,TORRILE,034041,230,0,0
2017,SCUOLA SECONDARIA I GRADO,TORNOLO,034040,7,0,0
2017,SCUOLA PRIMARIA,ROCCABIANCA,034030,126,0,0
2017,SCUOLA PRIMARIA,SAN SECONDO PARMENSE,034033,273,0,0
2017,SCUOLA PRIMARIA,BARDI,034002,68,0,0
2017,SCUOLA PRIMARIA,MEDESANO,034020,519,0,0
2017,SCUOLA PRIMARIA,TORRILE,034041,451,0,0
2017,SCUOLA PRIMARIA,SORAGNA,034036,224,0,0
2017,SCUOLA PRIMARIA,PELLEGRINO PARMENSE,034028,36,0,0
2017,SCUOLA PRIMARIA,BORE,034005,10,0,0
2017,SCUOLA PRIMARIA,CALESTANO,034008,82,0,0
2017,SCUOLA PRIMARIA,NOCETO,034025,643,0,0
2017,SCUOLA PRIMARIA,COLLECCHIO,034009,775,0,0
2017,SCUOLA PRIMARIA,COLORNO,034010,427,0,0
2017,SCUOLA PRIMARIA,VARSI,034046,37,0,0
2017,SCUOLA PRIMARIA,BORGO VAL DI TARO,034006,326,0,0
2017,SCUOLA PRIMARIA,VARANO DE' MELEGARI,034045,150,0,0
2017,SCUOLA SECONDARIA II GRADO,SAN SECONDO PARMENSE,034033,618,0,0
2017,SCUOLA PRIMARIA,ALBARETO,034001,60,0,0
2017,SCUOLA PRIMARIA,FONTANELLATO,034015,270,0,0
2017,SCUOLA PRIMARIA,LANGHIRANO,034018,493,0,0
2017,SCUOLA SECONDARIA I GRADO,FELINO,034013,274,0,0
2017,SCUOLA PRIMARIA,FORNOVO DI TARO,034017,295,0,0
2017,SCUOLA SECONDARIA I GRADO,POLESINE ZIBELLO,034050,57,0,0
2017,SCUOLA PRIMARIA,BERCETO,034004,52,0,0
2017,SCUOLA SECONDARIA I GRADO,SAN SECONDO PARMENSE,034033,138,0,0
2018,SCUOLA SECONDARIA I GRADO,BEDONIA,034003,95,0,0
2018,SCUOLA SECONDARIA II GRADO,SALSOMAGGIORE TERME,034032,830,0,0
2018,SCUOLA SECONDARIA II GRADO,BEDONIA,034003,240,0,0
