"territorio","anno","indicatore","valore"
"Ferrara",2043,"80 anni e più",11.8379242892862
"Forlì-Cesena",2043,"65 anni e più",32.9718724191017
"Forlì-Cesena",2043,"80 anni e più",10.8533089143447
"Modena",2043,"65 anni e più",31.8202959888372
"Modena",2043,"80 anni e più",10.3673612603325
"Parma",2043,"65 anni e più",30.9053949819988
"Parma",2043,"80 anni e più",9.80150089230508
"Piacenza",2043,"65 anni e più",31.6129731047041
"Piacenza",2043,"80 anni e più",10.3654862883409
"Ravenna",2043,"65 anni e più",33.7960849327297
"Ravenna",2043,"80 anni e più",11.1598546196519
"Reggio nell'Emilia",2043,"65 anni e più",31.9459083630124
"Reggio nell'Emilia",2043,"80 anni e più",10.0503711264715
"Rimini",2043,"65 anni e più",33.6522725501572
"Rimini",2043,"80 anni e più",11.0898484966562
"Bologna",2044,"65 anni e più",32.0569883664079
"Bologna",2044,"80 anni e più",10.6816588637048
"Ferrara",2044,"65 anni e più",35.0467020731903
"Ferrara",2044,"80 anni e più",12.1089099012031
"Forlì-Cesena",2044,"65 anni e più",33.1848702382646
"Forlì-Cesena",2044,"80 anni e più",11.1419681465568
"Modena",2044,"65 anni e più",32.0324000886258
"Modena",2044,"80 anni e più",10.6666376684333
"Parma",2044,"65 anni e più",31.1361430606893
"Parma",2044,"80 anni e più",10.1003572387305
"Piacenza",2044,"65 anni e più",31.7528954393658
"Piacenza",2044,"80 anni e più",10.656705610876
"Ravenna",2044,"65 anni e più",33.9591014045338
"Ravenna",2044,"80 anni e più",11.4600262791973
"Reggio nell'Emilia",2044,"65 anni e più",32.240739336528
"Reggio nell'Emilia",2044,"80 anni e più",10.3519320289772
"Rimini",2044,"65 anni e più",33.8883979368462
"Rimini",2044,"80 anni e più",11.4074151086159
"Bologna",2045,"65 anni e più",32.2067137610342
"Bologna",2045,"80 anni e più",11.048387399318
"Ferrara",2045,"65 anni e più",35.020297617421
"Ferrara",2045,"80 anni e più",12.4017379740033
"Forlì-Cesena",2045,"65 anni e più",33.3155311093863
"Forlì-Cesena",2045,"80 anni e più",11.4906700540805
"Modena",2045,"65 anni e più",32.168112491711
"Modena",2045,"80 anni e più",11.009332637598
"Parma",2045,"65 anni e più",31.3112167555248
"Parma",2045,"80 anni e più",10.4732342659146
"Piacenza",2045,"65 anni e più",31.8128920072803
"Piacenza",2045,"80 anni e più",10.9883827141282
"Ravenna",2045,"65 anni e più",34.0428899264066
"Ravenna",2045,"80 anni e più",11.8750111679222
"Reggio nell'Emilia",2045,"65 anni e più",32.4267821131894
"Reggio nell'Emilia",2045,"80 anni e più",10.7259810179275
"Rimini",2045,"65 anni e più",34.0578956191005
"Rimini",2045,"80 anni e più",11.8360587511055
"Bologna",2046,"65 anni e più",32.3249928978005
"Bologna",2046,"80 anni e più",11.3822708474166
"Ferrara",2046,"65 anni e più",34.9237314959096
"Ferrara",2046,"80 anni e più",12.6746932216595
"Forlì-Cesena",2046,"65 anni e più",33.3794384496697
"Forlì-Cesena",2046,"80 anni e più",11.8222173398513
"Modena",2046,"65 anni e più",32.2800280990096
"Modena",2046,"80 anni e più",11.3322707885794
"Parma",2046,"65 anni e più",31.4332046204756
"Parma",2046,"80 anni e più",10.825273325943
"Piacenza",2046,"65 anni e più",31.8322839520792
"Piacenza",2046,"80 anni e più",11.3126795253932
"Ravenna",2046,"65 anni e più",34.0842904438813
"Ravenna",2046,"80 anni e più",12.211078639745
"Reggio nell'Emilia",2046,"65 anni e più",32.5830528806104
"Reggio nell'Emilia",2046,"80 anni e più",11.0789006993732
"Rimini",2046,"65 anni e più",34.1582167705727
"Rimini",2046,"80 anni e più",12.1863654115979
"Bologna",2047,"65 anni e più",32.4017014446529
"Bologna",2047,"80 anni e più",11.7067604955078
"Ferrara",2047,"65 anni e più",34.7927968609838
"Ferrara",2047,"80 anni e più",12.9569849822729
"Forlì-Cesena",2047,"65 anni e più",33.4310989639675
"Forlì-Cesena",2047,"80 anni e più",12.1453393524984
"Modena",2047,"65 anni e più",32.3419852058823
"Modena",2047,"80 anni e più",11.6549543170801
"Parma",2047,"65 anni e più",31.5245861131703
"Parma",2047,"80 anni e più",11.1809159047854
"Piacenza",2047,"65 anni e più",31.8268121067719
"Piacenza",2047,"80 anni e più",11.6410747586058
"Ravenna",2047,"65 anni e più",34.0542669158993
"Ravenna",2047,"80 anni e più",12.5707359608456
"Reggio nell'Emilia",2047,"65 anni e più",32.6783338829746
"Reggio nell'Emilia",2047,"80 anni e più",11.4548324582304
"Rimini",2047,"65 anni e più",34.2463213996061
"Rimini",2047,"80 anni e più",12.5535859112501
"Bologna",2048,"65 anni e più",32.4769917794962
"Bologna",2048,"80 anni e più",12.024292029506
"Ferrara",2048,"65 anni e più",34.6484035587973
"Ferrara",2048,"80 anni e più",13.1909855224995
"Forlì-Cesena",2048,"65 anni e più",33.4461072978008
"Forlì-Cesena",2048,"80 anni e più",12.4418939024543
"Modena",2048,"65 anni e più",32.3940100123183
"Modena",2048,"80 anni e più",11.9722254702282
"Parma",2048,"65 anni e più",31.6379040624434
"Parma",2048,"80 anni e più",11.5239102870222
"Piacenza",2048,"65 anni e più",31.8195672051204
"Piacenza",2048,"80 anni e più",11.9330150022012
"Ravenna",2048,"65 anni e più",34.0471563574543
"Ravenna",2048,"80 anni e più",12.8972048759131
"Reggio nell'Emilia",2048,"65 anni e più",32.7760239493414
"Reggio nell'Emilia",2048,"80 anni e più",11.791786147517
"Rimini",2048,"65 anni e più",34.3288128218145
"Rimini",2048,"80 anni e più",12.8931757197766
"Bologna",2049,"65 anni e più",32.5462886074619
"Bologna",2049,"80 anni e più",12.3393750369455
"Ferrara",2049,"65 anni e più",34.5085765135475
"Ferrara",2049,"80 anni e più",13.4600632115131
"Forlì-Cesena",2049,"65 anni e più",33.4141126871986
"Forlì-Cesena",2049,"80 anni e più",12.7557943330947
"Modena",2049,"65 anni e più",32.4274531627795
"Modena",2049,"80 anni e più",12.2803389124812
"Parma",2049,"65 anni e più",31.7197119233991
"Parma",2049,"80 anni e più",11.8612391245732
"Piacenza",2049,"65 anni e più",31.7676168525235
"Piacenza",2049,"80 anni e più",12.2231637460597
"Ravenna",2049,"65 anni e più",33.984409057107
"Ravenna",2049,"80 anni e più",13.2322999205067
"Reggio nell'Emilia",2049,"65 anni e più",32.8274291573176
"Reggio nell'Emilia",2049,"80 anni e più",12.1476440257367
"Rimini",2049,"65 anni e più",34.3554841315738
"Rimini",2049,"80 anni e più",13.2628715734167
"Bologna",2050,"65 anni e più",32.5975915200771
"Bologna",2050,"80 anni e più",12.6641003511388
"Ferrara",2050,"65 anni e più",34.3313262654994
"Ferrara",2050,"80 anni e più",13.736717028062
"Forlì-Cesena",2050,"65 anni e più",33.365676562692
"Forlì-Cesena",2050,"80 anni e più",13.0639067110947
"Modena",2050,"65 anni e più",32.4427366539899
"Modena",2050,"80 anni e più",12.5949394675762
"Parma",2050,"65 anni e più",31.776601461405
"Parma",2050,"80 anni e più",12.1835218253355
"Piacenza",2050,"65 anni e più",31.7438178912112
"Piacenza",2050,"80 anni e più",12.494867331114
"Ravenna",2050,"65 anni e più",33.8805437164577
"Ravenna",2050,"80 anni e più",13.5607981564405
"Reggio nell'Emilia",2050,"65 anni e più",32.8575601786987
"Reggio nell'Emilia",2050,"80 anni e più",12.5031398795403
"Rimini",2050,"65 anni e più",34.3600660479284
"Rimini",2050,"80 anni e più",13.6175801646539
"Emilia-Romagna",2024,"65 anni e più",24.6594629125563
"Emilia-Romagna",2024,"80 anni e più",8.30274365905365
"Emilia-Romagna",2025,"65 anni e più",24.9263382930537
"Emilia-Romagna",2025,"80 anni e più",8.33446544261594
"Emilia-Romagna",2026,"65 anni e più",25.214894471873
"Emilia-Romagna",2026,"80 anni e più",8.26001009693369
"Emilia-Romagna",2027,"65 anni e più",25.5356022303849
"Emilia-Romagna",2027,"80 anni e più",8.47071557699208
"Emilia-Romagna",2028,"65 anni e più",25.875764929111
"Emilia-Romagna",2028,"80 anni e più",8.64410664289389
"Emilia-Romagna",2029,"65 anni e più",26.262879603242
"Emilia-Romagna",2029,"80 anni e più",8.80984120561011
"Emilia-Romagna",2030,"65 anni e più",26.7479530388608
"Emilia-Romagna",2030,"80 anni e più",8.90990896650941
"Emilia-Romagna",2031,"65 anni e più",27.2006662959142
"Emilia-Romagna",2031,"80 anni e più",8.98661542580005
"Emilia-Romagna",2032,"65 anni e più",27.6684796235519
"Emilia-Romagna",2032,"80 anni e più",9.01194473471664
"Emilia-Romagna",2033,"65 anni e più",28.120158331423
"Emilia-Romagna",2033,"80 anni e più",9.04244832128381
"Emilia-Romagna",2034,"65 anni e più",28.5910506295191
"Emilia-Romagna",2034,"80 anni e più",9.07981107513734
"Emilia-Romagna",2035,"65 anni e più",29.0709973083283
"Emilia-Romagna",2035,"80 anni e più",9.15424863909349
"Emilia-Romagna",2036,"65 anni e più",29.5293213137564
"Emilia-Romagna",2036,"80 anni e più",9.24476329642161
"Emilia-Romagna",2037,"65 anni e più",30.0061823220592
"Emilia-Romagna",2037,"80 anni e più",9.37046197653168
"Emilia-Romagna",2038,"65 anni e più",30.4729114061275
"Emilia-Romagna",2038,"80 anni e più",9.50996199407301
"Emilia-Romagna",2039,"65 anni e più",30.931866204411
"Emilia-Romagna",2039,"80 anni e più",9.65323399902692
"Emilia-Romagna",2040,"65 anni e più",31.391138473194
"Emilia-Romagna",2040,"80 anni e più",9.8426689930353
"Emilia-Romagna",2041,"65 anni e più",31.785724254271
"Emilia-Romagna",2041,"80 anni e più",10.0543236496282
"Emilia-Romagna",2042,"65 anni e più",32.1067541478669
