indicatore,domanda,tavola,anno,sesso,variabile,categoria,risposta,percentuale
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Nord-ovest,Qualche volta al mese (meno di 4),10.321619181159472
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Nord-ovest,Qualche volta l'anno,2.287673344736707
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Nord-ovest,Mai,1.6670459634260042
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Nord-ovest,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Nord-est,Tutti i giorni,17.782809640497536
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Nord-est,Qualche volta a settimana,52.32592462145128
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Nord-est,Una volta a settimana,14.450440210164206
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Nord-est,Qualche volta al mese (meno di 4),11.5222096258889
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Nord-est,Qualche volta l'anno,2.1593761913290757
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Nord-est,Mai,1.7592397106690054
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Nord-est,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Centro,Tutti i giorni,18.00220240986008
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Centro,Qualche volta a settimana,53.94465196128395
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Centro,Una volta a settimana,14.794318502041524
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Centro,Qualche volta al mese (meno di 4),10.068830304520135
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Centro,Qualche volta l'anno,1.7913066765795096
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Centro,Mai,1.3987900735668846
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Centro,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Sud,Tutti i giorni,26.465879108929983
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Sud,Qualche volta a settimana,48.99563820489358
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Sud,Una volta a settimana,14.197622554953284
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Sud,Qualche volta al mese (meno di 4),6.6652989040117845
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Sud,Qualche volta l'anno,1.3298756293417917
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Sud,Mai,2.3456855978695725
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Sud,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Isole,Tutti i giorni,25.33103493905023
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Isole,Qualche volta a settimana,49.17502785074504
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Isole,Una volta a settimana,12.633956272095071
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Isole,Qualche volta al mese (meno di 4),8.934411718949772
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Isole,Qualche volta l'anno,1.6596004155706674
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Isole,Mai,2.265789986606608
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,ripartizione,Isole,Totale,100
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,totale,Totale,Tutti i giorni,21.44997331746843
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,totale,Totale,Qualche volta a settimana,51.1163959535936
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,totale,Totale,Una volta a settimana,14.216020919571672
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,totale,Totale,Qualche volta al mese (meno di 4),9.488125349338832
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,totale,Totale,Qualche volta l'anno,1.8706954598062633
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,totale,Totale,Mai,1.858769545221881
amici_di_persona,Frequenza con cui vedono gli amici nel tempo libero,8_a,2023,Totale,totale,Totale,Totale,100
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,eta,11-13 anni,Continuamente,4.0563744462000075
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,eta,11-13 anni,Più volte al giorno,27.95949888855931
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,eta,11-13 anni,Ogni giorno (o quasi ogni giorno),30.395214364469822
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,eta,11-13 anni,Qualche volta a settimana,21.863296931336478
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,eta,11-13 anni,Meno spesso,10.133313794982032
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,eta,11-13 anni,Mai,5.592301574452345
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,eta,11-13 anni,Totale,100
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,eta,14-19 anni,Continuamente,7.427624481689161
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,eta,14-19 anni,Più volte al giorno,40.9548918203237
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,eta,14-19 anni,Ogni giorno (o quasi ogni giorno),29.474448429903145
amici_online,Frequenza di relazioni online o telefoniche con gli amici,9_a,2023,Maschi,eta,14-19 anni,Qualche volta a settimana,13.672734430769044
